mode,run,dataset,bin,n,value
3a,3a_cross,ALLE,0-50 %,1184,0.098
3a,3a_cross,ALLE,50-80 %,2394,0.2999
3a,3a_cross,ALLE,80-95 %,2992,0.5023
3a,3a_cross,ALLE,95-100 %,5714,0.6267
3a,3a_cross,ycbv,0-50 %,116,0.3707
3a,3a_cross,ycbv,50-80 %,899,0.4127
3a,3a_cross,ycbv,80-95 %,568,0.8803
3a,3a_cross,ycbv,95-100 %,2540,0.8291
3a,3a_cross,tless,0-50 %,864,0.0625
3a,3a_cross,tless,50-80 %,1148,0.2012
3a,3a_cross,tless,80-95 %,2038,0.3911
3a,3a_cross,tless,95-100 %,2666,0.4295
3a,3a_cross,lmo,0-50 %,204,0.0931
3a,3a_cross,lmo,50-80 %,347,0.3343
3a,3a_cross,lmo,80-95 %,386,0.5337
3a,3a_cross,lmo,95-100 %,508,0.6496
3b,3b_cross,ALLE,0-50 %,1184,27.706
3b,3b_cross,ALLE,50-80 %,2394,18.762
3b,3b_cross,ALLE,80-95 %,2992,14.3905
3b,3b_cross,ALLE,95-100 %,5714,18.7995
3b,3b_cross,ycbv,0-50 %,116,33.36
3b,3b_cross,ycbv,50-80 %,899,23.738
3b,3b_cross,ycbv,80-95 %,568,22.0495
3b,3b_cross,ycbv,95-100 %,2540,22.6785
3b,3b_cross,tless,0-50 %,864,22.679
3b,3b_cross,tless,50-80 %,1148,12.8905
3b,3b_cross,tless,80-95 %,2038,11.791
3b,3b_cross,tless,95-100 %,2666,13.936
3b,3b_cross,lmo,0-50 %,204,30.9435
3b,3b_cross,lmo,50-80 %,347,30.096
3b,3b_cross,lmo,80-95 %,386,25.679
3b,3b_cross,lmo,95-100 %,508,27.8605
