category,n,nDCG_text,nDCG_view,nDCG_shape
chair,513,0.615,0.881,0.898
display,192,0.669,0.603,0.628
table,140,0.523,0.482,0.392
sofa,139,0.164,0.473,0.226
bin,133,0.438,0.371,0.337
desk,118,0.289,0.429,0.309
storage,116,0.539,0.671,0.609
book,90,0.274,0.291,0.49
bookshelf,86,0.211,0.496,0.4
box,78,0.167,0.224,0.034
keyboard,65,0.149,0.09,0.716
bag,64,0.02,0.08,0.384
bed,62,0.49,0.689,0.524
machine,58,0.357,0.442,0.409
light,52,0.614,0.604,0.45
pillow,46,0.195,0.767,0.808
printer,41,0.233,0.382,0.282
oven,40,0.185,0.231,0.242
pc,39,0.215,0.206,0.359
cup,29,0.259,0.451,0.032
