cell,category,n,delta_nDCG_partial_minus_fullmesh,partial_win_share
iso_pc,chair,513,-0.0223,0.31
iso_pc,display,192,0.0877,0.771
iso_pc,table,140,-0.209,0.193
iso_pc,sofa,139,0.1171,0.576
iso_pc,bin,133,0.0765,0.624
iso_pc,desk,118,-0.278,0.025
iso_pc,storage,116,0.1425,0.784
iso_pc,book,90,0.3311,0.911
iso_pc,bookshelf,86,0.1184,0.523
iso_pc,box,78,-0.062,0.167
iso_pc,keyboard,65,0.3616,0.862
iso_pc,bag,64,0.2267,0.703
iso_pc,bed,62,-0.1037,0.339
iso_pc,machine,58,0.3904,0.741
iso_pc,light,52,-0.2319,0.115
iso_pc,pillow,46,0.2406,0.761
iso_pc,printer,41,-0.0775,0.439
iso_pc,oven,40,0.1913,0.8
iso_pc,pc,39,0.1875,0.769
iso_pc,cup,29,-0.0999,0.138
iso_cr,chair,513,0.0122,0.536
iso_cr,display,192,-0.0813,0.328
iso_cr,table,140,0.0189,0.536
iso_cr,sofa,139,0.1763,0.712
iso_cr,bin,133,-0.0864,0.263
iso_cr,desk,118,-0.1306,0.153
iso_cr,storage,116,-0.0699,0.336
iso_cr,book,90,0.1504,0.822
iso_cr,bookshelf,86,0.163,0.5
iso_cr,box,78,-0.2132,0.09
iso_cr,keyboard,65,0.1242,0.615
iso_cr,bag,64,0.1423,0.734
iso_cr,bed,62,0.3584,0.79
iso_cr,machine,58,-0.0167,0.379
iso_cr,light,52,-0.1995,0.019
iso_cr,pillow,46,0.4621,0.978
iso_cr,printer,41,0.0148,0.585
iso_cr,oven,40,0.1038,0.525
iso_cr,pc,39,0.0134,0.513
iso_cr,cup,29,0.0725,0.621
fus_pc,chair,513,-0.019,0.294
fus_pc,display,192,0.0233,0.677
fus_pc,table,140,-0.1362,0.079
fus_pc,sofa,139,0.0587,0.647
fus_pc,bin,133,0.011,0.541
fus_pc,desk,118,-0.1559,0.085
fus_pc,storage,116,0.0531,0.716
fus_pc,book,90,0.1246,0.811
fus_pc,bookshelf,86,0.0264,0.535
fus_pc,box,78,-0.085,0.256
fus_pc,keyboard,65,-0.1351,0.2
fus_pc,bag,64,-0.0087,0.344
fus_pc,bed,62,-0.0596,0.29
fus_pc,machine,58,0.2362,0.776
fus_pc,light,52,-0.1013,0.038
fus_pc,pillow,46,0.1384,0.696
fus_pc,printer,41,-0.0188,0.488
fus_pc,oven,40,0.1122,0.75
fus_pc,pc,39,0.0783,0.718
fus_pc,cup,29,-0.083,0.276
fus_cr,chair,513,-0.0067,0.372
fus_cr,display,192,-0.0264,0.385
fus_cr,table,140,-0.0035,0.536
fus_cr,sofa,139,0.0229,0.554
fus_cr,bin,133,-0.067,0.241
fus_cr,desk,118,-0.0652,0.169
fus_cr,storage,116,0.0025,0.534
fus_cr,book,90,0.0739,0.833
fus_cr,bookshelf,86,0.0808,0.547
fus_cr,box,78,-0.089,0.167
fus_cr,keyboard,65,0.1649,0.662
fus_cr,bag,64,-0.0167,0.266
fus_cr,bed,62,0.1142,0.726
fus_cr,machine,58,-0.0207,0.414
fus_cr,light,52,-0.0986,0.0
fus_cr,pillow,46,0.3511,0.891
fus_cr,printer,41,0.0101,0.659
fus_cr,oven,40,0.0263,0.65
fus_cr,pc,39,0.0517,0.692
fus_cr,cup,29,0.0569,0.862
