arm,n_all,hit1_all,n_sub,hit1_sub,n_nosub,hit1_nosub
E2b_fullmesh_geo,2101,0.4807,1675,0.4788,426,0.4883
E2_chamfer_ransac,2101,0.4717,1675,0.4567,426,0.5305
E2_both,2101,0.4645,1675,0.4555,426,0.5
O1e_gedi_with_base,2101,0.4588,1675,0.4549,426,0.4742
E2_fitness,2101,0.4393,1675,0.4436,426,0.4225
O1c_gedi_post_fusion,2101,0.4055,1675,0.4185,426,0.3545
E2b_fullmesh,2101,0.3598,1675,0.3654,426,0.338
O5_xyz_only,2101,0.3541,1675,0.3612,426,0.3263
A7f_full_fusion_shape_V42,2101,0.3413,1675,0.3522,426,0.2981
E1c_full_fusion,2101,0.3413,1675,0.3522,426,0.2981
O4_V16,2101,0.3327,1675,0.3457,426,0.2817
O4_V32,2101,0.3289,1675,0.3385,426,0.2911
E6_rrf,2101,0.3175,1675,0.3301,426,0.2676
O4_V8,2101,0.3251,1675,0.3355,426,0.284
E4_siglip,2101,0.3051,1675,0.3081,426,0.2934
E7_ulip2_cross,2101,0.3289,1675,0.3403,426,0.284
O2_visual_first,2101,0.3408,1675,0.354,426,0.2887
E1b_text_view,2101,0.3122,1675,0.3296,426,0.2441
E7_ulip2_cross_fullmesh,2101,0.3084,1675,0.3427,426,0.1737
A2_view_only_V42,2101,0.3337,1675,0.3469,426,0.2817
E1_view_only,2101,0.3337,1675,0.3469,426,0.2817
A2_view_only_V16,2101,0.326,1675,0.3391,426,0.2746
A2_view_only_V32,2101,0.3208,1675,0.3355,426,0.2629
O5_xyz_shape_only,2101,0.3598,1675,0.3552,426,0.3779
A7_shape_only_V42,2101,0.3275,1675,0.317,426,0.3685
E1_shape_only,2101,0.3275,1675,0.317,426,0.3685
E7_uni3d_shape_only,2101,0.3094,1675,0.2979,426,0.3545
A2_view_only_V8,2101,0.3027,1675,0.3158,426,0.2512
A7_shape_only_V32,2101,0.317,1675,0.3051,426,0.3638
A7_shape_only_V16,2101,0.3079,1675,0.2967,426,0.3521
O2_clip_threshold_cal,2101,0.2808,1675,0.2979,426,0.2136
E4_siglip_only,2101,0.2642,1675,0.2728,426,0.23
A7_shape_only_V8,2101,0.2913,1675,0.2878,426,0.3052
E2b_fullmesh_shape_only,2101,0.2822,1675,0.3099,426,0.1737
E7_ulip2_cross_shape_only,2101,0.2637,1675,0.2776,426,0.2089
E7_ulip2_cross_fullmesh_shape_only,2101,0.2028,1675,0.2406,426,0.054
E1d_clip_pruned,2101,0.2308,1675,0.2424,426,0.1854
E1_oscar_cascade,2101,0.2347,1675,0.2466,426,0.1878
O2_clip_threshold,2101,0.2294,1675,0.2406,426,0.1854
E1a_text_only,2101,0.1304,1675,0.1415,426,0.0869
