ablation,group,num_queries,nDCG,AP,precision,NN_sub_hit1,NN_cat,MRR,MRR_sub,hit_sub@5,hit_sub@50
E2b_fullmesh_geo,E2b,2101,0.6417,0.1773,0.2829,0.4807,0.554,0.6443,0.5638,0.6573,0.8558
E2_chamfer_ransac,E2,2101,0.6405,0.1737,0.2802,0.4717,0.5545,0.6376,0.5556,0.6564,0.8615
E2_both,E2,2101,0.6362,0.1711,0.2786,0.4645,0.5393,0.6264,0.5489,0.6516,0.8615
O1e_gedi_with_base,O1,2101,0.6287,0.1726,0.2802,0.4588,0.5202,0.6086,0.5407,0.6316,0.8615
E2_fitness,E2,2101,0.6251,0.168,0.2754,0.4393,0.5117,0.6064,0.5316,0.6387,0.8615
O1c_gedi_post_fusion,O1,2101,0.5961,0.1382,0.2437,0.4055,0.4841,0.5822,0.4992,0.6092,0.8372
E2b_fullmesh,E2b,2101,0.5935,0.1716,0.2815,0.3598,0.4184,0.5061,0.4348,0.5616,0.8558
O5_xyz_only,O5,2101,0.588,0.1713,0.2802,0.3541,0.406,0.5177,0.4475,0.5455,0.8567
A7f_full_fusion_shape_V42,E1,2101,0.5868,0.1666,0.279,0.3413,0.387,0.5031,0.4394,0.5426,0.8615
E1c_full_fusion,E1,2101,0.5868,0.1666,0.279,0.3413,0.387,0.4775,0.4146,0.5426,0.8615
O4_V16,O4,2101,0.582,0.1661,0.2777,0.3327,0.386,0.5012,0.4322,0.5355,0.8615
O4_V32,O4,2101,0.58,0.1615,0.274,0.3289,0.3779,0.4948,0.4301,0.5397,0.8553
E6_rrf,E6,2101,0.5744,0.1379,0.2577,0.3175,0.3736,0.4962,0.4257,0.5355,0.881
O4_V8,O4,2101,0.5714,0.1486,0.2607,0.3251,0.3822,0.4958,0.4224,0.5169,0.8596
E4_siglip,E4,2101,0.5659,0.1227,0.2388,0.3051,0.3689,0.497,0.4149,0.534,0.8644
E7_ulip2_cross,E7,2101,0.5588,0.1452,0.2546,0.3289,0.3708,0.4432,0.3882,0.4964,0.8215
O2_visual_first,O2,2101,0.557,0.1558,0.2579,0.3408,0.3903,0.4885,0.4285,0.5207,0.8187
E1b_text_view,E1,2101,0.5519,0.136,0.2455,0.3122,0.3703,0.4797,0.4076,0.5055,0.8372
E7_ulip2_cross_fullmesh,E7,2101,0.5511,0.1445,0.2522,0.3084,0.3698,0.4545,0.3736,0.4879,0.8234
A2_view_only_V42,A2,2101,0.5506,0.1548,0.2579,0.3337,0.3793,0.4766,0.4204,0.4917,0.8187
E1_view_only,E1,2101,0.5506,0.1548,0.2579,0.3337,0.3793,0.4766,0.4204,0.4917,0.8187
A2_view_only_V16,A2,2101,0.5481,0.1563,0.2571,0.326,0.3722,0.4693,0.4132,0.4998,0.8058
A2_view_only_V32,A2,2101,0.5426,0.1475,0.2496,0.3208,0.3641,0.4638,0.408,0.4893,0.8158
O5_xyz_shape_only,O5,2101,0.5422,0.1557,0.2409,0.3598,0.4027,0.4893,0.4337,0.5026,0.7725
A7_shape_only_V42,A7,2101,0.5353,0.1386,0.2355,0.3275,0.3751,0.4556,0.3939,0.5069,0.772
E1_shape_only,E1,2101,0.5353,0.1386,0.2355,0.3275,0.3751,0.4556,0.3939,0.5069,0.772
E7_uni3d_shape_only,E7,2101,0.5337,0.1514,0.2486,0.3094,0.3598,0.4556,0.3966,0.4869,0.7758
A2_view_only_V8,A2,2101,0.5302,0.1317,0.2303,0.3027,0.3584,0.4592,0.394,0.4793,0.7915
A7_shape_only_V32,A7,2101,0.53,0.1314,0.2301,0.317,0.3636,0.4432,0.3824,0.4921,0.7753
A7_shape_only_V16,A7,2101,0.5227,0.134,0.2332,0.3079,0.3465,0.4247,0.3719,0.4812,0.7696
O2_clip_threshold_cal,O2,2101,0.5186,0.0877,0.1808,0.2808,0.3508,0.4729,0.3887,0.4988,0.831
E4_siglip_only,E4,2101,0.5165,0.0861,0.1944,0.2642,0.3322,0.4578,0.3695,0.4722,0.8363
A7_shape_only_V8,A7,2101,0.5119,0.1218,0.222,0.2913,0.3251,0.4054,0.3541,0.4607,0.7554
E2b_fullmesh_shape_only,E2b,2101,0.4956,0.1339,0.2265,0.2822,0.3203,0.3814,0.3363,0.4346,0.7449
E7_ulip2_cross_shape_only,E7,2101,0.4809,0.0926,0.1914,0.2637,0.2903,0.3668,0.3304,0.4422,0.7354
E7_ulip2_cross_fullmesh_shape_only,E7,2101,0.4569,0.0907,0.1857,0.2028,0.2694,0.3526,0.2653,0.3755,0.7634
E1d_clip_pruned,E1,2101,0.4566,0.05,0.1424,0.2308,0.3027,0.4236,0.3294,0.4274,0.7853
E1_oscar_cascade,E1,2101,0.4561,0.0501,0.1424,0.2347,0.3018,0.4149,0.3261,0.4188,0.7853
O2_clip_threshold,O2,2101,0.4561,0.0499,0.1424,0.2294,0.3003,0.4221,0.3284,0.4269,0.7853
E1a_text_only,E1,2101,0.4218,0.047,0.1424,0.1304,0.1994,0.3264,0.2336,0.3341,0.7853
