w_text,w_view,w_shape,nDCG,hit1,NN_cat,MRR
0.0,0.0,1.0,0.4809,0.2637,0.2903,0.3668
0.0,0.1,0.9,0.4988,0.2908,0.3179,0.389
0.0,0.2,0.8,0.5154,0.3099,0.3351,0.4037
0.0,0.3,0.7,0.5269,0.3165,0.3446,0.4094
0.0,0.4,0.6,0.5371,0.3232,0.3532,0.4156
0.0,0.5,0.5,0.5449,0.3313,0.3627,0.4243
0.0,0.6,0.4,0.5516,0.3451,0.3812,0.4383
0.0,0.7,0.3,0.5536,0.3422,0.3803,0.4446
0.0,0.8,0.2,0.5544,0.3346,0.3774,0.446
0.0,0.9,0.1,0.5529,0.3346,0.3765,0.4481
0.0,1.0,0.0,0.5506,0.3337,0.3793,0.4505
0.1,0.0,0.9,0.4897,0.2599,0.2875,0.3698
0.1,0.1,0.8,0.5073,0.2865,0.3146,0.3926
0.1,0.2,0.7,0.5244,0.307,0.3337,0.4057
0.1,0.3,0.6,0.5376,0.3156,0.3413,0.4113
0.1,0.4,0.5,0.547,0.3308,0.3608,0.4236
0.1,0.5,0.4,0.5543,0.3341,0.3684,0.4338
0.1,0.6,0.3,0.5581,0.3413,0.3774,0.4444
0.1,0.7,0.2,0.5586,0.3427,0.3817,0.4504
0.1,0.8,0.1,0.5575,0.3351,0.3817,0.4543
0.1,0.9,0.0,0.5544,0.3327,0.3803,0.4551
0.2,0.0,0.8,0.4968,0.2504,0.2837,0.368
0.2,0.1,0.7,0.5163,0.2822,0.3089,0.3919
0.2,0.2,0.6,0.532,0.306,0.3308,0.4071
0.2,0.3,0.5,0.5449,0.3218,0.3479,0.4214
0.2,0.4,0.4,0.5538,0.3246,0.3603,0.4304
0.2,0.5,0.3,0.5598,0.3322,0.3708,0.4447
0.2,0.6,0.2,0.5606,0.3403,0.3803,0.4523
0.2,0.7,0.1,0.5582,0.3341,0.3822,0.4559
0.2,0.8,0.0,0.5558,0.3294,0.3793,0.4555
0.3,0.0,0.7,0.4997,0.2418,0.2746,0.3634
0.3,0.1,0.6,0.5224,0.2761,0.3056,0.3886
0.3,0.2,0.5,0.5386,0.3013,0.3317,0.4115
0.3,0.3,0.4,0.5502,0.3113,0.3498,0.4265
0.3,0.4,0.3,0.5588,0.3289,0.3708,0.4432
0.3,0.5,0.2,0.5599,0.326,0.3689,0.4491
0.3,0.6,0.1,0.5586,0.3317,0.3803,0.4565
0.3,0.7,0.0,0.5552,0.3251,0.3751,0.4514
0.4,0.0,0.6,0.5022,0.238,0.2684,0.363
0.4,0.1,0.5,0.5233,0.2694,0.3022,0.3896
0.4,0.2,0.4,0.54,0.2894,0.3279,0.4175
0.4,0.3,0.3,0.5504,0.3089,0.3541,0.4372
0.4,0.4,0.2,0.5558,0.316,0.3732,0.4504
0.4,0.5,0.1,0.5565,0.3203,0.3765,0.4554
0.4,0.6,0.0,0.5541,0.3194,0.3732,0.4532
0.5,0.0,0.5,0.4985,0.228,0.2665,0.3572
0.5,0.1,0.4,0.5187,0.2537,0.2922,0.3872
0.5,0.2,0.3,0.5349,0.2822,0.3289,0.4208
0.5,0.3,0.2,0.5436,0.2894,0.3465,0.4389
0.5,0.4,0.1,0.5473,0.2999,0.3584,0.4456
0.5,0.5,0.0,0.5452,0.2975,0.3536,0.4447
0.6,0.0,0.4,0.4899,0.2123,0.2594,0.3512
0.6,0.1,0.3,0.5082,0.2299,0.2761,0.3814
0.6,0.2,0.2,0.5233,0.2518,0.3032,0.4095
0.6,0.3,0.1,0.5308,0.2727,0.3332,0.429
0.6,0.4,0.0,0.5312,0.2732,0.3341,0.4306
0.7,0.0,0.3,0.4767,0.1885,0.2404,0.3385
0.7,0.1,0.2,0.4943,0.2123,0.2651,0.3693
0.7,0.2,0.1,0.5064,0.2308,0.2908,0.3947
0.7,0.3,0.0,0.5108,0.2437,0.3037,0.4068
0.8,0.0,0.2,0.4582,0.1614,0.2223,0.323
0.8,0.1,0.1,0.4738,0.1809,0.247,0.3505
0.8,0.2,0.0,0.4849,0.2032,0.2665,0.3688
0.9,0.0,0.1,0.4396,0.1461,0.2099,0.308
0.9,0.1,0.0,0.4522,0.1628,0.2327,0.3304
1.0,0.0,0.0,0.4218,0.1304,0.1994,0.2942
