w_text,w_view,w_shape,nDCG,hit1,NN_cat,MRR
0.0,0.0,1.0,0.5353,0.3275,0.3751,0.4556
0.0,0.1,0.9,0.5488,0.3422,0.3884,0.4688
0.0,0.2,0.8,0.5604,0.357,0.4041,0.482
0.0,0.3,0.7,0.5737,0.3655,0.4108,0.4913
0.0,0.4,0.6,0.5811,0.366,0.4117,0.4921
0.0,0.5,0.5,0.5832,0.3574,0.4022,0.483
0.0,0.6,0.4,0.5825,0.3617,0.4055,0.4795
0.0,0.7,0.3,0.5769,0.3479,0.3936,0.467
0.0,0.8,0.2,0.5703,0.3527,0.396,0.463
0.0,0.9,0.1,0.5595,0.3398,0.3841,0.4543
0.0,1.0,0.0,0.5506,0.3337,0.3793,0.4505
0.1,0.0,0.9,0.5425,0.3327,0.3793,0.458
0.1,0.1,0.8,0.5563,0.3413,0.3884,0.4706
0.1,0.2,0.7,0.5695,0.3555,0.4041,0.4853
0.1,0.3,0.6,0.5809,0.3651,0.4112,0.4923
0.1,0.4,0.5,0.5854,0.3603,0.4041,0.4865
0.1,0.5,0.4,0.5885,0.3622,0.4112,0.4855
0.1,0.6,0.3,0.583,0.3522,0.3974,0.4717
0.1,0.7,0.2,0.5749,0.3479,0.3955,0.4664
0.1,0.8,0.1,0.5635,0.3394,0.3841,0.4573
0.1,0.9,0.0,0.5544,0.3327,0.3803,0.4551
0.2,0.0,0.8,0.5483,0.3313,0.3812,0.4598
0.2,0.1,0.7,0.5651,0.3479,0.396,0.4752
0.2,0.2,0.6,0.5789,0.356,0.406,0.4882
0.2,0.3,0.5,0.5871,0.3603,0.4012,0.488
0.2,0.4,0.4,0.5922,0.3632,0.4069,0.4894
0.2,0.5,0.3,0.5866,0.3484,0.3936,0.4761
0.2,0.6,0.2,0.5774,0.3389,0.3912,0.4674
0.2,0.7,0.1,0.5672,0.3389,0.3879,0.4631
0.2,0.8,0.0,0.5558,0.3294,0.3793,0.4555
0.3,0.0,0.7,0.5505,0.317,0.3665,0.4552
0.3,0.1,0.6,0.5682,0.3365,0.3874,0.4745
0.3,0.2,0.5,0.5798,0.3451,0.3912,0.4838
0.3,0.3,0.4,0.5889,0.3503,0.3984,0.4899
0.3,0.4,0.3,0.5868,0.3413,0.387,0.4775
0.3,0.5,0.2,0.5786,0.3346,0.3827,0.4701
0.3,0.6,0.1,0.5688,0.3346,0.3841,0.4642
0.3,0.7,0.0,0.5552,0.3251,0.3751,0.4514
0.4,0.0,0.6,0.5481,0.3008,0.3541,0.4518
0.4,0.1,0.5,0.5671,0.3208,0.377,0.4733
0.4,0.2,0.4,0.5779,0.3246,0.377,0.4806
0.4,0.3,0.3,0.5824,0.3289,0.3841,0.4834
0.4,0.4,0.2,0.5758,0.3184,0.3765,0.4728
0.4,0.5,0.1,0.5657,0.3208,0.3803,0.464
0.4,0.6,0.0,0.5541,0.3194,0.3732,0.4532
0.5,0.0,0.5,0.5407,0.2746,0.3356,0.4415
0.5,0.1,0.4,0.5568,0.2861,0.3536,0.4592
0.5,0.2,0.3,0.5659,0.2999,0.3627,0.4672
0.5,0.3,0.2,0.5667,0.3041,0.3703,0.4702
0.5,0.4,0.1,0.5563,0.2975,0.3584,0.4568
0.5,0.5,0.0,0.5452,0.2975,0.3536,0.4447
0.6,0.0,0.4,0.5269,0.2465,0.316,0.4215
0.6,0.1,0.3,0.5389,0.2551,0.3241,0.4357
0.6,0.2,0.2,0.5477,0.2775,0.346,0.4499
0.6,0.3,0.1,0.5427,0.2789,0.3451,0.4452
0.6,0.4,0.0,0.5312,0.2732,0.3341,0.4306
0.7,0.0,0.3,0.5055,0.2123,0.2842,0.3926
0.7,0.1,0.2,0.5133,0.2113,0.287,0.4012
0.7,0.2,0.1,0.5178,0.237,0.3084,0.4142
0.7,0.3,0.0,0.5108,0.2437,0.3037,0.4068
0.8,0.0,0.2,0.4784,0.1761,0.2489,0.3556
0.8,0.1,0.1,0.4848,0.188,0.267,0.3709
0.8,0.2,0.0,0.4849,0.2032,0.2665,0.3688
0.9,0.0,0.1,0.4491,0.1533,0.2228,0.3245
0.9,0.1,0.0,0.4522,0.1628,0.2327,0.3304
1.0,0.0,0.0,0.4218,0.1304,0.1994,0.2942
