w_text,w_view,w_shape,nDCG
0,0,1,0.4673
0,0.1,0.9,0.481
0,0.2,0.8,0.4941
0,0.3,0.7,0.5073
0,0.4,0.6,0.5202
0,0.5,0.5,0.5319
0,0.6,0.4,0.5419
0,0.7,0.3,0.547
0,0.8,0.2,0.5504
0,0.9,0.1,0.5507
0,1,0,0.5506
0.1,0,0.9,0.473
0.1,0.1,0.8,0.4889
0.1,0.2,0.7,0.5035
0.1,0.3,0.6,0.5185
0.1,0.4,0.5,0.5319
0.1,0.5,0.4,0.5418
0.1,0.6,0.3,0.5489
0.1,0.7,0.2,0.5534
0.1,0.8,0.1,0.5538
0.1,0.9,0,0.5544
0.2,0,0.8,0.4782
0.2,0.1,0.7,0.4964
0.2,0.2,0.6,0.5131
0.2,0.3,0.5,0.5262
0.2,0.4,0.4,0.54
0.2,0.5,0.3,0.5491
0.2,0.6,0.2,0.5558
0.2,0.7,0.1,0.5557
0.2,0.8,0,0.5558
0.3,0,0.7,0.4845
0.3,0.1,0.6,0.5032
0.3,0.2,0.5,0.5187
0.3,0.3,0.4,0.5338
0.3,0.4,0.3,0.5453
0.3,0.5,0.2,0.5538
0.3,0.6,0.1,0.5567
0.3,0.7,0,0.5552
0.4,0,0.6,0.4866
0.4,0.1,0.5,0.5053
0.4,0.2,0.4,0.5229
0.4,0.3,0.3,0.5372
0.4,0.4,0.2,0.5476
0.4,0.5,0.1,0.5543
0.4,0.6,0,0.5541
0.5,0,0.5,0.4868
0.5,0.1,0.4,0.5051
0.5,0.2,0.3,0.5215
0.5,0.3,0.2,0.5358
0.5,0.4,0.1,0.544
0.5,0.5,0,0.5452
0.6,0,0.4,0.4818
0.6,0.1,0.3,0.5006
0.6,0.2,0.2,0.5144
0.6,0.3,0.1,0.5281
0.6,0.4,0,0.5312
0.7,0,0.3,0.4729
0.7,0.1,0.2,0.4886
0.7,0.2,0.1,0.5032
0.7,0.3,0,0.5108
0.8,0,0.2,0.4586
0.8,0.1,0.1,0.4732
0.8,0.2,0,0.4849
0.9,0,0.1,0.441
0.9,0.1,0,0.4522
1,0,0,0.4218
