w_text,w_view,w_shape,nDCG
0,0,1,0.5256
0,0.1,0.9,0.5397
0,0.2,0.8,0.5527
0,0.3,0.7,0.5664
0,0.4,0.6,0.5786
0,0.5,0.5,0.584
0,0.6,0.4,0.5835
0,0.7,0.3,0.576
0,0.8,0.2,0.569
0,0.9,0.1,0.559
0,1,0,0.5506
0.1,0,0.9,0.5327
0.1,0.1,0.8,0.5485
0.1,0.2,0.7,0.563
0.1,0.3,0.6,0.5768
0.1,0.4,0.5,0.5854
0.1,0.5,0.4,0.5884
0.1,0.6,0.3,0.5815
0.1,0.7,0.2,0.5745
0.1,0.8,0.1,0.5642
0.1,0.9,0,0.5544
0.2,0,0.8,0.5403
0.2,0.1,0.7,0.5564
0.2,0.2,0.6,0.5729
0.2,0.3,0.5,0.5835
0.2,0.4,0.4,0.5916
0.2,0.5,0.3,0.5876
0.2,0.6,0.2,0.577
0.2,0.7,0.1,0.5667
0.2,0.8,0,0.5558
0.3,0,0.7,0.5458
0.3,0.1,0.6,0.5632
0.3,0.2,0.5,0.5774
0.3,0.3,0.4,0.5893
0.3,0.4,0.3,0.5889
0.3,0.5,0.2,0.5798
0.3,0.6,0.1,0.5686
0.3,0.7,0,0.5552
0.4,0,0.6,0.5474
0.4,0.1,0.5,0.5648
0.4,0.2,0.4,0.5781
0.4,0.3,0.3,0.5839
0.4,0.4,0.2,0.5766
0.4,0.5,0.1,0.5659
0.4,0.6,0,0.5541
0.5,0,0.5,0.5426
0.5,0.1,0.4,0.5588
0.5,0.2,0.3,0.5684
0.5,0.3,0.2,0.5683
0.5,0.4,0.1,0.557
0.5,0.5,0,0.5452
0.6,0,0.4,0.5292
0.6,0.1,0.3,0.5418
0.6,0.2,0.2,0.5477
0.6,0.3,0.1,0.5425
0.6,0.4,0,0.5312
0.7,0,0.3,0.5063
0.7,0.1,0.2,0.5153
0.7,0.2,0.1,0.5188
0.7,0.3,0,0.5108
0.8,0,0.2,0.4808
0.8,0.1,0.1,0.4857
0.8,0.2,0,0.4849
0.9,0,0.1,0.4503
0.9,0.1,0,0.4522
1,0,0,0.4218
