category,NN_text,NN_view,NN_shape,NN_fusion_fullmesh,best_single,best_single_NN,delta_fusion_minus_best
car,0.976,1.0,1.0,1.0,shape,1.0,0.0
guitar,0.986,1.0,0.998,1.0,view,1.0,0.0
airplane,0.988,0.988,1.0,0.992,shape,1.0,-0.008
plant,0.906,0.968,0.64,0.99,view,0.968,0.022
bed,0.892,0.978,0.858,0.976,view,0.978,-0.002
camera,0.346,0.928,0.99,0.974,shape,0.99,-0.016
tent,0.88,0.772,0.966,0.972,shape,0.966,0.006
motorcycle,0.768,0.868,0.974,0.964,shape,0.974,-0.01
rifle,0.86,0.91,0.878,0.95,view,0.91,0.04
keyboard,0.728,0.922,0.832,0.942,view,0.922,0.02
chair,0.726,0.884,0.886,0.926,shape,0.886,0.04
bicycle,0.696,0.962,0.804,0.916,view,0.962,-0.046
wardrobe,0.502,0.906,0.89,0.906,view,0.906,0.0
knife,0.63,0.806,0.846,0.896,shape,0.846,0.05
flower_pot,0.57,0.772,0.814,0.842,shape,0.814,0.028
stairs,0.494,0.774,0.778,0.834,shape,0.778,0.056
bookshelf,0.614,0.86,0.54,0.788,view,0.86,-0.072
radio,0.516,0.636,0.684,0.756,shape,0.684,0.072
pistol,0.36,0.736,0.484,0.67,view,0.736,-0.066
monitor,0.666,0.584,0.124,0.602,text,0.666,-0.064
vase,0.166,0.182,0.416,0.284,shape,0.416,-0.132
