run,gallery,views,arm,N,NN_count,NN,FT,ST,F,DCG,ANMRR,AUC
oscarplus_v2_tau037_dinomean_partialforce,partial,42,clip_only,10500,7135,0.679524,0.574711,0.754289,0.131308,0.597111,0.414344,0.483924
oscarplus_v2_tau037_dinomean_partialforce,partial,42,dino_only_full,10500,8718,0.830286,0.629245,0.752806,0.152771,0.668237,0.353944,0.530055
oscarplus_v2_tau037_dinomean_partialforce,partial,42,ulip_only_full,10500,7152,0.681143,0.452915,0.605878,0.123343,0.495188,0.528471,0.353478
oscarplus_v2_tau037_dinomean_partialforce,partial,42,clip_dino_ulip_full,10500,9286,0.884381,0.691752,0.832494,0.162377,0.727852,0.292827,0.606153
oscarplus_v2_tau037_dinomean_partialforce,partial,42,oscar_maxview,10500,8912,0.848762,0.574711,0.754289,0.131357,0.613462,0.413579,0.489834
oscarplus_v2_tau037_dinomean_partialforce,partial,42,oscar_softmax,10500,8929,0.850381,0.574711,0.754289,0.131354,0.613982,0.413555,0.489857
oscarplus_v2_tau037_dinomean_partialforce,partial,42,clip_pruned_dino_ulip,10500,8999,0.857048,0.574711,0.754289,0.131360,0.614257,0.413542,0.489929
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,clip_only,10500,7135,0.679524,0.574711,0.754289,0.131308,0.597111,0.414344,0.483924
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,dino_only_full,10500,8718,0.830286,0.629245,0.752806,0.152771,0.668237,0.353944,0.530055
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,ulip_only_full,10500,8201,0.781048,0.510033,0.648119,0.143559,0.561050,0.468689,0.404625
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,clip_dino_ulip_full,10500,9090,0.865714,0.681768,0.821875,0.162555,0.718550,0.302389,0.589061
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,oscar_maxview,10500,8912,0.848762,0.574711,0.754289,0.131357,0.613462,0.413579,0.489834
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,oscar_softmax,10500,8929,0.850381,0.574711,0.754289,0.131354,0.613982,0.413555,0.489857
oscarplus_v2_tau037_dinomean_ulipfix,fullmesh,42,clip_pruned_dino_ulip,10500,9085,0.865238,0.574711,0.754289,0.131352,0.615235,0.413507,0.490310
oscar_legacy_v8,fullmesh,8,clip_only,10500,7135,0.679524,0.574711,0.754289,0.131308,0.597111,0.414344,0.483924
oscar_legacy_v8,fullmesh,8,dino_only_full,10500,8606,0.819619,0.591030,0.714695,0.148504,0.632817,0.391253,0.484436
oscar_legacy_v8,fullmesh,8,ulip_only_full,10500,8201,0.781048,0.510033,0.648119,0.143559,0.561050,0.468689,0.404625
oscar_legacy_v8,fullmesh,8,clip_dino_ulip_full,10500,9095,0.866190,0.664769,0.805939,0.160622,0.702881,0.319113,0.568901
oscar_legacy_v8,fullmesh,8,oscar_maxview,10500,8862,0.844000,0.574710,0.754289,0.131353,0.613445,0.413582,0.489627
oscar_legacy_v8,fullmesh,8,oscar_softmax,10500,8864,0.844190,0.574710,0.754289,0.131354,0.613741,0.413571,0.489631
oscar_legacy_v8,fullmesh,8,clip_pruned_dino_ulip,10500,9007,0.857810,0.574710,0.754289,0.131354,0.614920,0.413519,0.490131
