w_clip,w_dino,w_ulip,FT,NN
0.0,0.0,1.0,0.4529,68.1143
0.0,0.1,0.9,0.5088,74.1048
0.0,0.2,0.8,0.5605,80.019
0.0,0.3,0.7,0.6026,84.3238
0.0,0.4,0.6,0.6322,86.581
0.0,0.5,0.5,0.6484,87.0476
0.0,0.6,0.4,0.6541,86.8381
0.0,0.7,0.3,0.6523,86.0571
0.0,0.8,0.2,0.6464,85.0571
0.0,0.9,0.1,0.6385,83.8286
0.0,1.0,0.0,0.6292,83.0286
0.1,0.0,0.9,0.5002,72.181
0.1,0.1,0.8,0.5567,78.181
0.1,0.2,0.7,0.6053,83.7238
0.1,0.3,0.6,0.6411,86.9143
0.1,0.4,0.5,0.6619,87.8
0.1,0.5,0.4,0.6699,87.619
0.1,0.6,0.3,0.6687,87.019
0.1,0.7,0.2,0.6618,86.0476
0.1,0.8,0.1,0.6526,84.5048
0.1,0.9,0.0,0.6422,83.7238
0.2,0.0,0.8,0.5449,75.6286
0.2,0.1,0.7,0.5997,81.3143
0.2,0.2,0.6,0.6424,85.9524
0.2,0.3,0.5,0.6696,87.9524
0.2,0.4,0.4,0.6817,88.1238
0.2,0.5,0.3,0.6824,87.8286
0.2,0.6,0.2,0.6757,86.8667
0.2,0.7,0.1,0.6657,85.2476
0.2,0.8,0.0,0.654,84.3714
0.3,0.0,0.7,0.5843,78.3048
0.3,0.1,0.6,0.6341,83.9143
0.3,0.2,0.5,0.6688,87.3524
0.3,0.3,0.4,0.6871,88.3905
0.3,0.4,0.3,0.6918,88.4381
0.3,0.5,0.2,0.6869,87.5333
0.3,0.6,0.1,0.6767,86.0095
0.3,0.7,0.0,0.6646,84.9238
0.4,0.0,0.6,0.6151,80.2857
0.4,0.1,0.5,0.6577,85.1143
0.4,0.2,0.4,0.6836,87.4667
0.4,0.3,0.3,0.6941,88.419
0.4,0.4,0.2,0.6931,87.8667
0.4,0.5,0.1,0.6845,86.6381
0.4,0.6,0.0,0.6723,85.2571
0.5,0.0,0.5,0.6346,81.0857
0.5,0.1,0.4,0.6691,85.181
0.5,0.2,0.3,0.6872,87.1714
0.5,0.3,0.2,0.692,87.419
0.5,0.4,0.1,0.6872,86.4952
0.5,0.5,0.0,0.6762,85.2286
0.6,0.0,0.4,0.6419,79.981
0.6,0.1,0.3,0.6691,83.9333
0.6,0.2,0.2,0.6815,85.9238
0.6,0.3,0.1,0.6822,85.7524
0.6,0.4,0.0,0.6746,84.7905
0.7,0.0,0.3,0.6384,78.2952
0.7,0.1,0.2,0.6597,82.1048
0.7,0.2,0.1,0.6677,84.019
0.7,0.3,0.0,0.6653,83.6286
0.8,0.0,0.2,0.6249,75.7143
0.8,0.1,0.1,0.6418,79.6667
0.8,0.2,0.0,0.6468,80.8952
0.9,0.0,0.1,0.6032,72.4857
0.9,0.1,0.0,0.6165,75.8095
1.0,0.0,0.0,0.5747,67.9524
