w_clip,w_dino,w_ulip,FT,NN
0.0,0.0,1.0,0.51,78.1048
0.0,0.05,0.95,0.5311,79.4952
0.0,0.1,0.9,0.5509,80.8381
0.0,0.15,0.85,0.5692,81.8571
0.0,0.2,0.8,0.5856,82.8286
0.0,0.25,0.75,0.6001,83.6
0.0,0.3,0.7,0.6127,84.0667
0.0,0.35,0.65,0.6234,84.5048
0.0,0.4,0.6,0.6322,84.7619
0.0,0.45,0.55,0.6392,85.181
0.0,0.5,0.5,0.6444,85.4571
0.0,0.55,0.45,0.6481,85.419
0.0,0.6,0.4,0.6503,85.3143
0.0,0.65,0.35,0.6511,85.3714
0.0,0.7,0.3,0.6505,85.4095
0.0,0.75,0.25,0.6487,85.1048
0.0,0.8,0.2,0.6462,84.9048
0.0,0.85,0.15,0.6427,84.5524
0.0,0.9,0.1,0.6387,84.219
0.0,0.95,0.05,0.6343,83.7905
0.0,1.0,0.0,0.6292,83.0286
0.05,0.0,0.95,0.5276,78.7333
0.05,0.05,0.9,0.5484,80.1143
0.05,0.1,0.85,0.5678,81.4571
0.05,0.15,0.8,0.5856,82.5619
0.05,0.2,0.75,0.6011,83.4667
0.05,0.25,0.7,0.6149,84.0667
0.05,0.3,0.65,0.6265,84.4476
0.05,0.35,0.6,0.6362,84.9333
0.05,0.4,0.55,0.6443,85.3143
0.05,0.45,0.5,0.6502,85.7714
0.05,0.5,0.45,0.6545,85.8
0.05,0.55,0.4,0.6571,85.6762
0.05,0.6,0.35,0.6582,85.5714
0.05,0.65,0.3,0.6578,85.7238
0.05,0.7,0.25,0.6561,85.5429
0.05,0.75,0.2,0.6533,85.2952
0.05,0.8,0.15,0.65,84.9524
0.05,0.85,0.1,0.6459,84.5905
0.05,0.9,0.05,0.6412,84.019
0.05,0.95,0.0,0.6359,83.3524
0.1,0.0,0.9,0.5443,79.181
0.1,0.05,0.85,0.565,80.6667
0.1,0.1,0.8,0.584,82.0286
0.1,0.15,0.75,0.6009,83.1143
0.1,0.2,0.7,0.6157,84.0857
0.1,0.25,0.65,0.6286,84.5143
0.1,0.3,0.6,0.6394,84.9143
0.1,0.35,0.55,0.6482,85.3429
0.1,0.4,0.5,0.6551,85.8286
0.1,0.45,0.45,0.6601,86.0476
0.1,0.5,0.4,0.6632,85.9429
0.1,0.55,0.35,0.6648,85.8286
0.1,0.6,0.3,0.6647,85.9143
0.1,0.65,0.25,0.6631,85.7905
0.1,0.7,0.2,0.6603,85.619
0.1,0.75,0.15,0.6567,85.1333
0.1,0.8,0.1,0.6525,84.9238
0.1,0.85,0.05,0.6477,84.4286
0.1,0.9,0.0,0.6423,83.7238
0.15,0.0,0.85,0.5605,79.7524
0.15,0.05,0.8,0.5805,81.2571
0.15,0.1,0.75,0.5988,82.8
0.15,0.15,0.7,0.6152,83.7524
0.15,0.2,0.65,0.6292,84.419
0.15,0.25,0.6,0.6411,84.9238
0.15,0.3,0.55,0.6511,85.4095
0.15,0.35,0.5,0.659,85.819
0.15,0.4,0.45,0.6649,86.0952
0.15,0.45,0.4,0.6688,86.2476
0.15,0.5,0.35,0.6707,86.0381
0.15,0.55,0.3,0.671,85.9714
0.15,0.6,0.25,0.6696,86.0476
0.15,0.65,0.2,0.6669,85.8667
0.15,0.7,0.15,0.6633,85.5619
0.15,0.75,0.1,0.6589,85.0667
0.15,0.8,0.05,0.6539,84.6667
0.15,0.85,0.0,0.6485,84.0286
0.2,0.0,0.8,0.5756,80.3429
0.2,0.05,0.75,0.5951,81.9333
0.2,0.1,0.7,0.6127,83.2762
0.2,0.15,0.65,0.6282,84.2286
0.2,0.2,0.6,0.6415,84.819
0.2,0.25,0.55,0.6525,85.2571
0.2,0.3,0.5,0.6618,85.8
0.2,0.35,0.45,0.6685,86.0857
0.2,0.4,0.4,0.6733,86.219
0.2,0.45,0.35,0.6759,86.3619
0.2,0.5,0.3,0.6767,86.3143
0.2,0.55,0.25,0.6756,86.2952
0.2,0.6,0.2,0.6732,86.1714
0.2,0.65,0.15,0.6693,85.981
0.2,0.7,0.1,0.665,85.3524
0.2,0.75,0.05,0.6599,84.9524
0.2,0.8,0.0,0.6542,84.3524
0.25,0.0,0.75,0.5893,80.9429
0.25,0.05,0.7,0.6082,82.4
0.25,0.1,0.65,0.6252,83.6667
0.25,0.15,0.6,0.6401,84.581
0.25,0.2,0.55,0.6526,85.2571
0.25,0.25,0.5,0.6628,85.7524
0.25,0.3,0.45,0.6707,86.2
0.25,0.35,0.4,0.6764,86.3714
0.25,0.4,0.35,0.6802,86.4381
0.25,0.45,0.3,0.6815,86.6476
0.25,0.5,0.25,0.6809,86.4857
0.25,0.55,0.2,0.6786,86.2762
0.25,0.6,0.15,0.6751,86.1333
0.25,0.65,0.1,0.6706,85.819
0.25,0.7,0.05,0.6655,85.2095
0.25,0.75,0.0,0.6598,84.7048
0.3,0.0,0.7,0.6018,81.4
0.3,0.05,0.65,0.6202,83.019
0.3,0.1,0.6,0.6365,84.2476
0.3,0.15,0.55,0.6505,85.019
0.3,0.2,0.5,0.6621,85.7048
0.3,0.25,0.45,0.6714,85.9714
0.3,0.3,0.4,0.6783,86.5238
0.3,0.35,0.35,0.6828,86.6667
0.3,0.4,0.3,0.6851,86.8381
0.3,0.45,0.25,0.6852,86.8095
0.3,0.5,0.2,0.6834,86.6476
0.3,0.55,0.15,0.6801,86.4762
0.3,0.6,0.1,0.6758,86.1333
0.3,0.65,0.05,0.6706,85.5619
0.3,0.7,0.0,0.6649,84.9619
0.35,0.0,0.65,0.613,81.8762
0.35,0.05,0.6,0.6307,83.4286
0.35,0.1,0.55,0.6461,84.4
0.35,0.15,0.5,0.6592,85.2286
0.35,0.2,0.45,0.6701,85.9238
0.35,0.25,0.4,0.6782,86.3333
0.35,0.3,0.35,0.6838,86.7048
0.35,0.35,0.3,0.6872,86.781
0.35,0.4,0.25,0.6882,86.9619
0.35,0.45,0.2,0.6871,86.9524
0.35,0.5,0.15,0.6843,86.8
0.35,0.55,0.1,0.6801,86.3429
0.35,0.6,0.05,0.6749,85.781
0.35,0.65,0.0,0.669,85.1048
0.4,0.0,0.6,0.6225,82.4762
0.4,0.05,0.55,0.6394,83.5905
0.4,0.1,0.5,0.6543,84.6286
0.4,0.15,0.45,0.6665,85.3619
0.4,0.2,0.4,0.6761,86.0095
0.4,0.25,0.35,0.6832,86.5143
0.4,0.3,0.3,0.6876,86.9143
0.4,0.35,0.25,0.6897,86.9714
0.4,0.4,0.2,0.6894,87.0762
0.4,0.45,0.15,0.6872,86.9905
0.4,0.5,0.1,0.6835,86.4762
0.4,0.55,0.05,0.6785,85.9238
0.4,0.6,0.0,0.6726,85.2476
0.45,0.0,0.55,0.6303,82.7333
0.45,0.05,0.5,0.6466,83.8286
0.45,0.1,0.45,0.6605,84.8476
0.45,0.15,0.4,0.6716,85.6762
0.45,0.2,0.35,0.6804,86.3333
0.45,0.25,0.3,0.6862,86.7429
0.45,0.3,0.25,0.6894,86.9905
0.45,0.35,0.2,0.6902,86.9905
0.45,0.4,0.15,0.6888,86.8476
0.45,0.45,0.1,0.6855,86.5619
0.45,0.5,0.05,0.6807,86.0095
0.45,0.55,0.0,0.6752,85.2286
0.5,0.0,0.5,0.6365,82.8571
0.5,0.05,0.45,0.6521,84.0476
0.5,0.1,0.4,0.6648,85.0095
0.5,0.15,0.35,0.675,85.8
0.5,0.2,0.3,0.6824,86.4952
0.5,0.25,0.25,0.6869,86.8571
0.5,0.3,0.2,0.6889,86.8571
0.5,0.35,0.15,0.6886,86.781
0.5,0.4,0.1,0.686,86.3619
0.5,0.45,0.05,0.6818,86.0476
0.5,0.5,0.0,0.6763,85.2095
0.55,0.0,0.45,0.6408,82.9048
0.55,0.05,0.4,0.6553,84.1333
0.55,0.1,0.35,0.6672,85.1429
0.55,0.15,0.3,0.6761,85.7333
0.55,0.2,0.25,0.6821,86.1333
0.55,0.25,0.2,0.6854,86.381
0.55,0.3,0.15,0.6862,86.3524
0.55,0.35,0.1,0.6846,86.0857
0.55,0.4,0.05,0.6812,85.6667
0.55,0.45,0.0,0.6764,84.9905
0.6,0.0,0.4,0.6431,82.6286
0.6,0.05,0.35,0.6565,83.8571
0.6,0.1,0.3,0.6671,84.8762
0.6,0.15,0.25,0.6749,85.4095
0.6,0.2,0.2,0.6796,85.619
0.6,0.25,0.15,0.6818,86.0
0.6,0.3,0.1,0.6813,85.581
0.6,0.35,0.05,0.6789,85.2476
0.6,0.4,0.0,0.6745,84.8381
0.65,0.0,0.35,0.6432,82.0476
0.65,0.05,0.3,0.6552,83.3429
0.65,0.1,0.25,0.6647,84.181
0.65,0.15,0.2,0.6713,84.7619
0.65,0.2,0.15,0.6748,84.9333
0.65,0.25,0.1,0.6758,84.9619
0.65,0.3,0.05,0.6743,85.0095
0.65,0.35,0.0,0.6709,84.2952
0.7,0.0,0.3,0.6408,81.4
0.7,0.05,0.25,0.6517,82.3714
0.7,0.1,0.2,0.66,83.2571
0.7,0.15,0.15,0.6651,83.7143
0.7,0.2,0.1,0.6676,83.8476
0.7,0.25,0.05,0.6675,83.7905
0.7,0.3,0.0,0.665,83.5905
0.75,0.0,0.25,0.6359,80.0952
0.75,0.05,0.2,0.6458,81.1714
0.75,0.1,0.15,0.6526,81.9333
0.75,0.15,0.1,0.6565,82.3429
0.75,0.2,0.05,0.658,82.4762
0.75,0.25,0.0,0.6568,82.4476
0.8,0.0,0.2,0.6285,78.6476
0.8,0.05,0.15,0.637,79.4857
0.8,0.1,0.1,0.6428,80.3333
0.8,0.15,0.05,0.6458,80.8952
0.8,0.2,0.0,0.6463,80.8476
0.85,0.0,0.15,0.6186,76.4286
0.85,0.05,0.1,0.6261,77.5143
0.85,0.1,0.05,0.6305,78.3429
0.85,0.15,0.0,0.6328,78.6952
0.9,0.0,0.1,0.6061,73.9238
0.9,0.05,0.05,0.6125,75.0476
0.9,0.1,0.0,0.6161,75.7429
0.95,0.0,0.05,0.5913,71.0476
0.95,0.05,0.0,0.5967,72.2571
1.0,0.0,0.0,0.5747,68.0381
