mode,run,dataset,bin,n,median_mm,median_norm
3b,3b_cross,ALLE,0-50 %,1184,27.706,0.2373
3b,3b_cross,ALLE,50-80 %,2394,18.762,0.1254
3b,3b_cross,ALLE,80-95 %,2992,14.3905,0.1182
3b,3b_cross,ALLE,95-100 %,5714,18.7995,0.1494
3b,3b_cross,ycbv,0-50 %,116,33.36,0.1764
3b,3b_cross,ycbv,50-80 %,899,23.738,0.1147
3b,3b_cross,ycbv,80-95 %,568,22.0495,0.1144
3b,3b_cross,ycbv,95-100 %,2540,22.6785,0.1473
3b,3b_cross,tless,0-50 %,864,22.679,0.2867
3b,3b_cross,tless,50-80 %,1148,12.8905,0.1225
3b,3b_cross,tless,80-95 %,2038,11.791,0.111
3b,3b_cross,tless,95-100 %,2666,13.936,0.1441
3b,3b_cross,lmo,0-50 %,204,30.9435,0.1811
3b,3b_cross,lmo,50-80 %,347,30.096,0.1547
3b,3b_cross,lmo,80-95 %,386,25.679,0.1454
3b,3b_cross,lmo,95-100 %,508,27.8605,0.1723
