run,arm,dataset,n,recall@1
3a_cross_fullmesh_v2,clip_only,lmo,1445,0.1564
3a_cross_fullmesh_v2,clip_only,tless,6716,0.0473
3a_cross_fullmesh_v2,clip_only,ycbv,4123,0.4894
3a_cross_fullmesh_v2,clip_only,all,12284,0.2086
3a_cross_fullmesh_v2,dino_only_full,lmo,1445,0.2519
3a_cross_fullmesh_v2,dino_only_full,tless,6716,0.3712
3a_cross_fullmesh_v2,dino_only_full,ycbv,4123,0.4211
3a_cross_fullmesh_v2,dino_only_full,all,12284,0.3739
3a_cross_fullmesh_v2,ulip_only_full,lmo,1445,0.2685
3a_cross_fullmesh_v2,ulip_only_full,tless,6716,0.1791
3a_cross_fullmesh_v2,ulip_only_full,ycbv,4123,0.2911
3a_cross_fullmesh_v2,ulip_only_full,all,12284,0.2272
3a_cross_fullmesh_v2,clip_dino_ulip_full,lmo,1445,0.4782
3a_cross_fullmesh_v2,clip_dino_ulip_full,tless,6716,0.3938
3a_cross_fullmesh_v2,clip_dino_ulip_full,ycbv,4123,0.7257
3a_cross_fullmesh_v2,clip_dino_ulip_full,all,12284,0.5151
3a_cross_fullmesh_v2,oscar_maxview,lmo,1445,0.2263
3a_cross_fullmesh_v2,oscar_maxview,tless,6716,0.3691
3a_cross_fullmesh_v2,oscar_maxview,ycbv,4123,0.4143
3a_cross_fullmesh_v2,oscar_maxview,all,12284,0.3675
3a_cross_fullmesh_v2,oscar_softmax,lmo,1445,0.2519
3a_cross_fullmesh_v2,oscar_softmax,tless,6716,0.3712
3a_cross_fullmesh_v2,oscar_softmax,ycbv,4123,0.4211
3a_cross_fullmesh_v2,oscar_softmax,all,12284,0.3739
3a_cross_fullmesh_v2,clip_pruned_dino_ulip,lmo,1445,0.3848
3a_cross_fullmesh_v2,clip_pruned_dino_ulip,tless,6716,0.4306
3a_cross_fullmesh_v2,clip_pruned_dino_ulip,ycbv,4123,0.617
3a_cross_fullmesh_v2,clip_pruned_dino_ulip,all,12284,0.4878
3a_cross_v2,clip_only,lmo,1445,0.1564
3a_cross_v2,clip_only,tless,6716,0.0473
3a_cross_v2,clip_only,ycbv,4123,0.4894
3a_cross_v2,clip_only,all,12284,0.2086
3a_cross_v2,dino_only_full,lmo,1445,0.2519
3a_cross_v2,dino_only_full,tless,6716,0.3712
3a_cross_v2,dino_only_full,ycbv,4123,0.4211
3a_cross_v2,dino_only_full,all,12284,0.3739
3a_cross_v2,ulip_only_full,lmo,1445,0.1176
3a_cross_v2,ulip_only_full,tless,6716,0.0706
3a_cross_v2,ulip_only_full,ycbv,4123,0.4388
3a_cross_v2,ulip_only_full,all,12284,0.1997
3a_cross_v2,clip_dino_ulip_full,lmo,1445,0.4644
3a_cross_v2,clip_dino_ulip_full,tless,6716,0.3316
3a_cross_v2,clip_dino_ulip_full,ycbv,4123,0.7325
3a_cross_v2,clip_dino_ulip_full,all,12284,0.4818
3a_cross_v2,oscar_maxview,lmo,1445,0.2263
3a_cross_v2,oscar_maxview,tless,6716,0.3691
3a_cross_v2,oscar_maxview,ycbv,4123,0.4143
3a_cross_v2,oscar_maxview,all,12284,0.3675
3a_cross_v2,oscar_softmax,lmo,1445,0.2519
3a_cross_v2,oscar_softmax,tless,6716,0.3712
3a_cross_v2,oscar_softmax,ycbv,4123,0.4211
3a_cross_v2,oscar_softmax,all,12284,0.3739
3a_cross_v2,clip_pruned_dino_ulip,lmo,1445,0.3668
3a_cross_v2,clip_pruned_dino_ulip,tless,6716,0.3378
3a_cross_v2,clip_pruned_dino_ulip,ycbv,4123,0.6476
3a_cross_v2,clip_pruned_dino_ulip,all,12284,0.4452
3a_pc_v2,clip_only,lmo,1445,0.1564
3a_pc_v2,clip_only,tless,6716,0.0473
3a_pc_v2,clip_only,ycbv,4123,0.4894
3a_pc_v2,clip_only,all,12284,0.2086
3a_pc_v2,dino_only_full,lmo,1445,0.2519
3a_pc_v2,dino_only_full,tless,6716,0.3712
3a_pc_v2,dino_only_full,ycbv,4123,0.4211
3a_pc_v2,dino_only_full,all,12284,0.3739
3a_pc_v2,ulip_only_full,lmo,1445,0.0042
3a_pc_v2,ulip_only_full,tless,6716,0.0323
3a_pc_v2,ulip_only_full,ycbv,4123,0.0087
3a_pc_v2,ulip_only_full,all,12284,0.0211
3a_pc_v2,clip_dino_ulip_full,lmo,1445,0.4
3a_pc_v2,clip_dino_ulip_full,tless,6716,0.3499
3a_pc_v2,clip_dino_ulip_full,ycbv,4123,0.6711
3a_pc_v2,clip_dino_ulip_full,all,12284,0.4636
3a_pc_v2,oscar_maxview,lmo,1445,0.2263
3a_pc_v2,oscar_maxview,tless,6716,0.3691
3a_pc_v2,oscar_maxview,ycbv,4123,0.4143
3a_pc_v2,oscar_maxview,all,12284,0.3675
3a_pc_v2,oscar_softmax,lmo,1445,0.2519
3a_pc_v2,oscar_softmax,tless,6716,0.3712
3a_pc_v2,oscar_softmax,ycbv,4123,0.4211
3a_pc_v2,oscar_softmax,all,12284,0.3739
3a_pc_v2,clip_pruned_dino_ulip,lmo,1445,0.2401
3a_pc_v2,clip_pruned_dino_ulip,tless,6716,0.3413
3a_pc_v2,clip_pruned_dino_ulip,ycbv,4123,0.5404
3a_pc_v2,clip_pruned_dino_ulip,all,12284,0.3962
3a_pc_fullmesh_v2,clip_only,lmo,1445,0.1564
3a_pc_fullmesh_v2,clip_only,tless,6716,0.0473
3a_pc_fullmesh_v2,clip_only,ycbv,4123,0.4894
3a_pc_fullmesh_v2,clip_only,all,12284,0.2086
3a_pc_fullmesh_v2,dino_only_full,lmo,1445,0.2519
3a_pc_fullmesh_v2,dino_only_full,tless,6716,0.3712
3a_pc_fullmesh_v2,dino_only_full,ycbv,4123,0.4211
3a_pc_fullmesh_v2,dino_only_full,all,12284,0.3739
3a_pc_fullmesh_v2,ulip_only_full,lmo,1445,0.0007
3a_pc_fullmesh_v2,ulip_only_full,tless,6716,0.0
3a_pc_fullmesh_v2,ulip_only_full,ycbv,4123,0.0262
3a_pc_fullmesh_v2,ulip_only_full,all,12284,0.0089
3a_pc_fullmesh_v2,clip_dino_ulip_full,lmo,1445,0.4457
3a_pc_fullmesh_v2,clip_dino_ulip_full,tless,6716,0.1592
3a_pc_fullmesh_v2,clip_dino_ulip_full,ycbv,4123,0.74
3a_pc_fullmesh_v2,clip_dino_ulip_full,all,12284,0.3878
3a_pc_fullmesh_v2,oscar_maxview,lmo,1445,0.2263
3a_pc_fullmesh_v2,oscar_maxview,tless,6716,0.3691
3a_pc_fullmesh_v2,oscar_maxview,ycbv,4123,0.4143
3a_pc_fullmesh_v2,oscar_maxview,all,12284,0.3675
3a_pc_fullmesh_v2,oscar_softmax,lmo,1445,0.2519
3a_pc_fullmesh_v2,oscar_softmax,tless,6716,0.3712
3a_pc_fullmesh_v2,oscar_softmax,ycbv,4123,0.4211
3a_pc_fullmesh_v2,oscar_softmax,all,12284,0.3739
3a_pc_fullmesh_v2,clip_pruned_dino_ulip,lmo,1445,0.3253
3a_pc_fullmesh_v2,clip_pruned_dino_ulip,tless,6716,0.0776
3a_pc_fullmesh_v2,clip_pruned_dino_ulip,ycbv,4123,0.6
3a_pc_fullmesh_v2,clip_pruned_dino_ulip,all,12284,0.2821
