run,dataset,provenance,n,d_sym_median_mm,d_sym_norm_median
3c_cross,ycbv,target_cad,1916,18.625,0.1391
3c_cross,ycbv,proxy,2207,21.106,0.1021
3c_cross,tless,target_cad,4542,6.614,0.0668
3c_cross,tless,proxy,2174,14.045,0.182
3c_cross,lmo,target_cad,284,15.349,0.097
3c_cross,lmo,proxy,1161,27.536,0.1651
3c_cross,ALL,target_cad,6742,10.354,0.0839
3c_cross,ALL,proxy,5542,20.102,0.1336
3c_cross_fullmesh,ycbv,target_cad,2266,19.154,0.1453
3c_cross_fullmesh,ycbv,proxy,1857,18.615,0.0937
3c_cross_fullmesh,tless,target_cad,5408,6.017,0.0578
3c_cross_fullmesh,tless,proxy,1308,21.419,0.2755
3c_cross_fullmesh,lmo,target_cad,325,14.792,0.0948
3c_cross_fullmesh,lmo,proxy,1120,32.154,0.1938
3c_cross_fullmesh,ALL,target_cad,7999,9.761,0.0791
3c_cross_fullmesh,ALL,proxy,4285,22.65,0.1433
