case,rank,tier,dataset,obj_id,name,scene,im,gt_idx,visib,condition,cad,cad_units_m,pose_source,fp_conf,fp_fail,dsym_mm,dsym_norm,f05,place_mm,settle_mm,world,plane_inlier,plane_angle_deg,bottom_gap_mm,n_cand,n_reach,n_blocked,n_att,n_succ,first_succ,succ,lift_cm,att_seq,fail_reason,runtime_s,ts
ycbv14,1,1,ycbv,14,mug,48,1074,2,0.9976,gt,gt,0,fp,72.156,,2.07,0.0166,1.0,12.3,2.2,bop,0.556,1.91,0.0,38,14,0,2,1,0,1,12.8,"F,S",,44.7,2026-09-11T12:11:53
ycbv14,1,1,ycbv,14,mug,48,1074,2,0.9976,proxy,housecat6d/cup-red_heart,1,fp,102.971,,4.5,0.036,0.7768,9.9,2.2,bop,0.556,1.91,0.0,40,22,0,5,1,0,1,14.0,"F,F,F,F,S",,339.2,2026-09-11T12:12:35
ycbv14,1,1,ycbv,14,mug,48,1133,2,0.9979,gt,gt,0,fp,75.656,,2.44,0.0195,1.0,13.3,2.3,bop,0.4,2.0,0.0,38,13,0,4,1,0,1,13.1,"F,F,F,S",,60.3,2026-09-11T12:18:15
ycbv14,1,1,ycbv,14,mug,48,1133,2,0.9979,proxy,housecat6d/cup-red_heart,1,fp,105.762,,4.13,0.033,0.7901,11.2,2.3,bop,0.4,2.0,0.0,40,22,0,5,0,0,0,0.0,"F,F,F,F,F",grasp_failed,44.3,2026-09-11T12:19:15
ycbv14,1,1,ycbv,14,mug,48,1644,2,0.9949,gt,gt,0,fp,80.172,,1.96,0.0157,0.9989,12.0,2.4,bop,0.376,1.59,0.0,38,12,0,4,1,0,1,5.7,"F,F,F,S",,51.4,2026-09-11T12:19:59
ycbv14,1,1,ycbv,14,mug,48,1644,2,0.9949,proxy,housecat6d/cup-red_heart,1,fp,115.266,,4.26,0.0341,0.7889,12.1,2.4,bop,0.376,1.59,0.0,40,22,0,5,1,0,1,14.9,"F,F,F,F,S",,41.8,2026-09-11T12:20:51
ycbv14,1,1,ycbv,14,mug,55,526,4,0.9814,gt,gt,0,fp,85.438,,2.47,0.0198,0.9982,10.9,2.3,bop,0.707,2.4,0.0,38,11,0,2,1,0,1,11.2,"F,S",,14.5,2026-09-11T12:21:34
ycbv14,1,1,ycbv,14,mug,55,526,4,0.9814,proxy,housecat6d/cup-red_heart,1,fp,104.254,,4.15,0.0332,0.7791,12.9,2.3,bop,0.707,2.4,0.0,40,14,0,1,1,1,1,14.8,S,,6.8,2026-09-11T12:21:47
ycbv14,1,1,ycbv,14,mug,55,1044,4,0.9953,gt,gt,0,fp,80.141,,2.16,0.0173,0.9996,10.1,2.4,bop,0.769,2.67,0.0,38,12,0,5,0,0,0,0.0,"F,F,F,F,F",grasp_failed,24.9,2026-09-11T12:21:54
ycbv14,1,1,ycbv,14,mug,55,1044,4,0.9953,proxy,housecat6d/cup-red_heart,1,fp,104.613,,4.7,0.0376,0.7576,11.0,2.4,bop,0.769,2.67,0.0,40,17,0,1,1,1,1,15.1,S,,6.7,2026-09-11T12:22:19
