case,rank,tier,dataset,obj_id,name,scene,im,gt_idx,visib,condition,cad,cad_units_m,pose_source,fp_conf,fp_fail,dsym_mm,dsym_norm,f05,place_mm,settle_mm,world,plane_inlier,plane_angle_deg,bottom_gap_mm,n_cand,n_reach,n_blocked,n_att,n_succ,first_succ,succ,lift_cm,att_seq,fail_reason,runtime_s,ts,yaw_deg,graspable_pose
ycbv2,1,0,ycbv,2,cracker box,54,1,0,,gt,gt,0,fp_solo_render,46.906,,3.48,0.0129,1.0,7.1,4.0,solo,,,,40,21,0,1,1,1,1,14.2,S,,5.1,2026-09-11T21:42:51,0.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,134.969,,29.94,0.1111,0.199,23.6,4.0,solo,,,,40,2,0,2,0,0,0,0.0,"F,F",grasp_failed,34.3,2026-09-11T21:42:56,0.0,1
ycbv2,1,0,ycbv,2,cracker box,54,38,0,,gt,gt,0,fp_solo_render,55.219,,5.57,0.0207,1.0,8.7,4.0,solo,,,,40,1,0,1,0,0,0,0.0,F,grasp_failed,3.3,2026-09-11T21:43:34,36.0,1
ycbv2,1,0,ycbv,2,cracker box,54,38,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,118.266,,34.53,0.1281,0.2606,76.4,4.0,solo,,,,40,10,6,4,0,0,0,0.0,"B,F,B,F,F,B,B,F,B,B",grasp_failed,4.5,2026-09-11T21:43:37,36.0,1
ycbv2,1,0,ycbv,2,cracker box,54,56,0,,gt,gt,0,fp_solo_render,57.031,,5.95,0.0221,1.0,7.9,4.0,solo,,,,40,5,0,5,0,0,0,0.0,"F,F,F,F,F",grasp_failed,3.5,2026-09-11T21:43:47,72.0,1
ycbv2,1,0,ycbv,2,cracker box,54,56,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,124.188,,40.52,0.1503,0.2889,78.6,4.0,solo,,,,40,15,1,1,1,1,1,12.6,"B,S",,4.1,2026-09-11T21:43:50,72.0,1
ycbv2,1,0,ycbv,2,cracker box,54,86,0,,gt,gt,0,fp_solo_render,56.594,,6.06,0.0225,1.0,8.3,4.0,solo,,,,40,2,0,2,0,0,0,0.0,"F,F",grasp_failed,3.3,2026-09-11T21:43:58,108.0,1
ycbv2,1,0,ycbv,2,cracker box,54,86,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,136.656,,32.71,0.1213,0.2571,62.6,4.0,solo,,,,40,16,0,1,1,1,1,11.0,S,,4.1,2026-09-11T21:44:02,108.0,1
ycbv2,1,0,ycbv,2,cracker box,54,202,0,,gt,gt,0,fp_solo_render,52.969,,4.61,0.0171,0.9771,8.7,4.0,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,3.2,2026-09-11T21:44:10,144.0,1
ycbv2,1,0,ycbv,2,cracker box,54,202,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,133.969,,29.24,0.1085,0.2002,32.4,4.0,solo,,,,40,14,0,1,1,1,1,10.1,S,,4.2,2026-09-11T21:44:13,144.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1178,0,,gt,gt,0,fp_solo_render,44.469,,7.01,0.026,1.0,8.5,4.0,solo,,,,40,1,1,0,0,0,0,0.0,B,all_blocked,3.2,2026-09-11T21:44:21,180.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1178,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,126.172,,32.36,0.1201,0.2646,54.0,4.0,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,3.9,2026-09-11T21:44:25,180.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1539,0,,gt,gt,0,fp_solo_render,49.938,,6.34,0.0235,1.0,7.5,4.0,solo,,,,40,3,0,3,0,0,0,0.0,"F,F,F",grasp_failed,3.4,2026-09-11T21:44:33,216.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1539,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,126.516,,30.42,0.1128,0.2321,35.4,4.0,solo,,,,40,13,8,5,0,0,0,0.0,"B,B,B,F,F,B,B,B,B,B,F,F,F",grasp_failed,4.5,2026-09-11T21:44:36,216.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1550,0,,gt,gt,0,fp_solo_render,57.844,,4.71,0.0175,1.0,7.3,4.0,solo,,,,40,2,0,1,1,1,1,13.0,S,,3.3,2026-09-11T21:44:45,252.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1550,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,147.0,,28.87,0.1071,0.2303,39.4,4.0,solo,,,,40,15,4,1,1,1,1,10.6,"B,B,B,B,S",,4.3,2026-09-11T21:44:48,252.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1568,0,,gt,gt,0,fp_solo_render,58.562,,2.84,0.0105,1.0,7.1,4.0,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,3.2,2026-09-11T21:44:57,288.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1568,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,135.188,,28.21,0.1046,0.2468,44.3,4.0,solo,,,,40,13,12,1,0,0,0,0.0,"B,B,B,B,B,B,B,B,B,B,F,B,B",grasp_failed,4.6,2026-09-11T21:45:00,288.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1585,0,,gt,gt,0,fp_solo_render,51.219,,3.75,0.0139,1.0,6.8,4.0,solo,,,,40,14,0,1,1,1,1,14.3,S,,3.3,2026-09-11T21:45:09,324.0,1
ycbv2,1,0,ycbv,2,cracker box,54,1585,0,,proxy,housecat6d/bottle-dettol_washing_machine,1,fp_solo_render,130.219,,30.35,0.1126,0.1769,24.5,4.0,solo,,,,40,2,1,1,0,0,0,0.0,"F,B",grasp_failed,4.0,2026-09-11T21:45:13,324.0,1
ycbv3,2,0,ycbv,3,sugar box,49,36,0,,gt,gt,0,fp_solo_render,39.031,,3.43,0.0173,0.9578,6.3,2.5,solo,,,,40,25,0,5,0,0,0,0.0,"F,F,F,F,F",grasp_failed,2.2,2026-09-11T21:45:23,0.0,1
ycbv3,2,0,ycbv,3,sugar box,49,36,0,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,134.812,,36.3,0.183,0.1521,62.8,2.5,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,6.0,2026-09-11T21:45:25,0.0,1
ycbv3,2,0,ycbv,3,sugar box,51,1,1,,gt,gt,0,fp_solo_render,44.031,,2.55,0.0128,1.0,6.2,2.5,solo,,,,40,30,0,1,1,1,1,14.8,S,,1.9,2026-09-11T21:45:33,36.0,1
ycbv3,2,0,ycbv,3,sugar box,51,1,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,118.969,,13.97,0.0704,0.504,26.3,2.5,solo,,,,40,4,4,0,0,0,0,0.0,"B,B,B,B",all_blocked,1.8,2026-09-11T21:45:35,36.0,1
ycbv3,2,0,ycbv,3,sugar box,54,1,1,,gt,gt,0,fp_solo_render,50.375,,4.53,0.0229,1.0,6.4,2.5,solo,,,,40,1,0,1,1,1,1,12.6,S,,1.8,2026-09-11T21:45:39,72.0,1
ycbv3,2,0,ycbv,3,sugar box,54,1,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,122.781,,20.04,0.101,0.4095,47.4,2.5,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,1.6,2026-09-11T21:45:41,72.0,1
ycbv3,2,0,ycbv,3,sugar box,55,638,1,,gt,gt,0,fp_solo_render,58.938,,2.95,0.0148,0.8927,8.3,2.5,solo,,,,40,13,0,2,1,0,1,14.0,"F,S",,1.9,2026-09-11T21:45:45,108.0,1
ycbv3,2,0,ycbv,3,sugar box,55,638,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,133.625,,18.15,0.0915,0.3738,11.7,2.5,solo,,,,40,10,3,5,0,0,0,0.0,"B,F,F,B,B,F,F,F",grasp_failed,2.0,2026-09-11T21:45:47,108.0,1
ycbv3,2,0,ycbv,3,sugar box,49,537,0,,gt,gt,0,fp_solo_render,53.062,,4.87,0.0245,1.0,6.0,2.5,solo,,,,40,29,0,1,1,1,1,14.6,S,,1.9,2026-09-11T21:45:51,144.0,1
ycbv3,2,0,ycbv,3,sugar box,49,537,0,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,124.156,,15.27,0.077,0.4441,22.7,2.5,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,1.6,2026-09-11T21:45:53,144.0,1
ycbv3,2,0,ycbv,3,sugar box,51,116,1,,gt,gt,0,fp_solo_render,54.75,,2.59,0.0131,0.9007,6.8,2.5,solo,,,,40,29,0,1,1,1,1,14.6,S,,1.8,2026-09-11T21:45:56,180.0,1
ycbv3,2,0,ycbv,3,sugar box,51,116,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,133.75,,54.28,0.2736,0.0,80.9,2.5,solo,,,,40,1,0,1,0,0,0,0.0,F,grasp_failed,1.6,2026-09-11T21:45:58,180.0,1
ycbv3,2,0,ycbv,3,sugar box,54,63,1,,gt,gt,0,fp_solo_render,46.844,,5.38,0.0271,0.9885,7.1,2.5,solo,,,,40,20,0,1,1,1,1,12.4,S,,1.8,2026-09-11T21:46:01,216.0,1
ycbv3,2,0,ycbv,3,sugar box,54,63,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,120.109,,19.06,0.0961,0.4181,43.3,2.5,solo,,,,40,4,1,3,0,0,0,0.0,"B,F,F,F",grasp_failed,1.7,2026-09-11T21:46:03,216.0,1
ycbv3,2,0,ycbv,3,sugar box,55,641,1,,gt,gt,0,fp_solo_render,53.062,,3.69,0.0186,1.0,7.4,2.5,solo,,,,40,33,0,1,1,1,1,14.5,S,,1.8,2026-09-11T21:46:06,252.0,1
ycbv3,2,0,ycbv,3,sugar box,55,641,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,113.695,,16.85,0.0849,0.4686,39.3,2.5,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,1.5,2026-09-11T21:46:08,252.0,1
ycbv3,2,0,ycbv,3,sugar box,49,576,0,,gt,gt,0,fp_solo_render,44.438,,3.22,0.0162,1.0,5.9,2.5,solo,,,,40,17,0,1,1,1,1,14.8,S,,1.8,2026-09-11T21:46:11,288.0,1
ycbv3,2,0,ycbv,3,sugar box,49,576,0,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,122.578,,16.94,0.0854,0.4559,45.6,2.5,solo,,,,40,4,2,1,1,1,1,12.4,"B,B,S",,1.8,2026-09-11T21:46:13,288.0,1
ycbv3,2,0,ycbv,3,sugar box,51,553,1,,gt,gt,0,fp_solo_render,45.281,,4.7,0.0237,1.0,6.8,2.5,solo,,,,40,30,0,1,1,1,1,14.8,S,,1.8,2026-09-11T21:46:16,324.0,1
ycbv3,2,0,ycbv,3,sugar box,51,553,1,,proxy,gso/Ultra_JarroDophilus,1,fp_solo_render,125.359,,19.18,0.0967,0.3291,38.2,2.5,solo,,,,40,12,0,1,1,1,1,8.8,S,,1.7,2026-09-11T21:46:18,324.0,1
ycbv4,3,0,ycbv,4,tomato soup can,50,1125,1,,gt,gt,0,fp_solo_render,71.469,,4.6,0.0381,0.751,6.3,1.9,solo,,,,40,10,0,1,1,1,1,8.0,S,,9.8,2026-09-11T21:46:25,0.0,1
ycbv4,3,0,ycbv,4,tomato soup can,50,1125,1,,proxy,gso/Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,1,fp_solo_render,131.125,,17.86,0.1482,0.2528,30.7,1.9,solo,,,,1,1,0,1,0,0,0,0.0,F,grasp_failed,2.9,2026-09-11T21:46:34,0.0,1
ycbv4,3,0,ycbv,4,tomato soup can,51,1,2,,gt,gt,0,fp_solo_render,75.703,,5.14,0.0426,0.7156,6.8,1.9,solo,,,,40,8,0,1,1,1,1,7.4,S,,1.4,2026-09-11T21:46:42,36.0,1
ycbv4,3,0,ycbv,4,tomato soup can,51,1,2,,proxy,gso/Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,1,fp_solo_render,131.625,,17.65,0.1464,0.2297,28.2,1.9,solo,,,,1,0,0,0,0,0,0,0.0,,unreachable,1.8,2026-09-11T21:46:43,36.0,1
ycbv4,3,0,ycbv,4,tomato soup can,53,1,0,,gt,gt,0,fp_solo_render,65.656,,4.81,0.0399,0.7367,5.9,1.9,solo,,,,40,12,0,1,1,1,1,15.0,S,,1.4,2026-09-11T21:46:49,72.0,1
ycbv4,3,0,ycbv,4,tomato soup can,53,1,0,,proxy,gso/Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,1,fp_solo_render,137.344,,18.03,0.1496,0.1058,29.1,1.9,solo,,,,1,0,0,0,0,0,0,0.0,,unreachable,1.8,2026-09-11T21:46:50,72.0,1
ycbv4,3,0,ycbv,4,tomato soup can,55,22,2,,gt,gt,0,fp_solo_render,81.938,,5.92,0.0491,0.4539,8.2,1.9,solo,,,,40,12,0,1,1,1,1,14.8,S,,1.5,2026-09-11T21:46:55,108.0,1
