case,rank,tier,dataset,obj_id,name,scene,im,gt_idx,visib,condition,cad,cad_units_m,pose_source,fp_conf,fp_fail,dsym_mm,dsym_norm,f05,place_mm,settle_mm,world,plane_inlier,plane_angle_deg,bottom_gap_mm,n_cand,n_reach,n_blocked,n_att,n_succ,first_succ,succ,lift_cm,att_seq,fail_reason,runtime_s,ts,yaw_deg,graspable_pose
tless30,1,1,tless,30,obj_30,1,30,3,,gt_pose,gt,0,sim_true,,,,,,0.0,3.5,solo,,,,40,1,1,0,0,0,0,0.0,B,all_blocked,0.3,2026-09-11T15:42:16,0.0,1
tless30,1,1,tless,30,obj_30,1,30,3,,gt,gt,0,fp_solo_render,39.125,,5.19,0.0584,0.5289,10.4,3.5,solo,,,,40,1,1,0,0,0,0,0.0,B,all_blocked,4.3,2026-09-11T15:42:16,0.0,1
tless30,1,1,tless,30,obj_30,1,30,3,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,113.039,,6.44,0.0725,0.5236,16.8,3.5,solo,,,,40,7,0,4,1,0,1,14.6,"F,F,F,S",,3.8,2026-09-11T15:42:20,0.0,1
tless30,1,1,tless,30,obj_30,15,28,5,,gt_pose,gt,0,sim_true,,,,,,0.0,3.7,solo,,,,40,1,1,0,0,0,0,0.0,B,all_blocked,0.1,2026-09-11T15:42:24,36.0,1
tless30,1,1,tless,30,obj_30,15,28,5,,gt,gt,0,fp_solo_render,40.75,,7.78,0.0877,0.3291,15.9,3.7,solo,,,,40,10,0,1,1,1,1,14.8,S,,3.4,2026-09-11T15:42:24,36.0,1
tless30,1,1,tless,30,obj_30,15,28,5,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,104.078,,9.28,0.1046,0.2795,22.3,3.7,solo,,,,40,8,0,1,1,1,1,15.0,S,,3.0,2026-09-11T15:42:28,36.0,1
tless30,1,1,tless,30,obj_30,19,55,8,,gt_pose,gt,0,sim_true,,,,,,0.0,3.6,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,0.1,2026-09-11T15:42:31,72.0,1
tless30,1,1,tless,30,obj_30,19,55,8,,gt,gt,0,fp_solo_render,33.625,,4.32,0.0487,0.6036,9.4,3.6,solo,,,,40,8,0,1,1,1,1,14.8,S,,3.4,2026-09-11T15:42:31,72.0,1
tless30,1,1,tless,30,obj_30,19,55,8,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,117.156,,6.04,0.0681,0.5051,13.6,3.6,solo,,,,40,16,0,1,1,1,1,14.7,S,,2.9,2026-09-11T15:42:34,72.0,1
tless30,1,1,tless,30,obj_30,1,101,3,,gt_pose,gt,0,sim_true,,,,,,0.0,3.6,solo,,,,40,2,2,0,0,0,0,0.0,"B,B",all_blocked,0.2,2026-09-11T15:42:37,108.0,1
tless30,1,1,tless,30,obj_30,1,101,3,,gt,gt,0,fp_solo_render,30.75,,5.41,0.0609,0.5248,11.1,3.6,solo,,,,40,10,0,1,1,1,1,13.8,S,,3.4,2026-09-11T15:42:38,108.0,1
tless30,1,1,tless,30,obj_30,1,101,3,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,101.696,,5.78,0.0651,0.5806,4.4,3.6,solo,,,,40,2,2,0,0,0,0,0.0,"B,B",all_blocked,3.0,2026-09-11T15:42:41,108.0,1
tless30,1,1,tless,30,obj_30,15,62,5,,gt_pose,gt,0,sim_true,,,,,,0.0,3.7,solo,,,,40,1,1,0,0,0,0,0.0,B,all_blocked,0.1,2026-09-11T15:42:44,144.0,1
tless30,1,1,tless,30,obj_30,15,62,5,,gt,gt,0,fp_solo_render,47.594,,10.21,0.1151,0.1811,21.6,3.7,solo,,,,40,12,0,2,1,0,1,14.7,"F,S",,3.4,2026-09-11T15:42:44,144.0,1
tless30,1,1,tless,30,obj_30,15,62,5,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,103.877,,11.39,0.1283,0.2374,26.2,3.7,solo,,,,40,4,0,4,0,0,0,0.0,"F,F,F,F",grasp_failed,3.1,2026-09-11T15:42:48,144.0,1
tless30,1,1,tless,30,obj_30,19,128,8,,gt_pose,gt,0,sim_true,,,,,,0.0,3.5,solo,,,,40,2,2,0,0,0,0,0.0,"B,B",all_blocked,0.2,2026-09-11T15:42:51,180.0,1
tless30,1,1,tless,30,obj_30,19,128,8,,gt,gt,0,fp_solo_render,22.875,,2.56,0.0288,0.8108,6.0,3.5,solo,,,,40,14,0,2,1,0,1,14.7,"F,S",,3.3,2026-09-11T15:42:51,180.0,1
tless30,1,1,tless,30,obj_30,19,128,8,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,105.547,,5.03,0.0567,0.5983,8.3,3.5,solo,,,,40,0,0,0,0,0,0,0.0,,unreachable,2.8,2026-09-11T15:42:54,180.0,1
tless30,1,1,tless,30,obj_30,1,89,3,,gt_pose,gt,0,sim_true,,,,,,0.0,3.7,solo,,,,40,9,7,2,0,0,0,0.0,"B,B,B,B,B,F,B,F,B",grasp_failed,0.7,2026-09-11T15:42:57,216.0,1
tless30,1,1,tless,30,obj_30,1,89,3,,gt,gt,0,fp_solo_render,39.062,,5.43,0.0612,0.3974,10.8,3.7,solo,,,,40,16,0,1,1,1,1,13.4,S,,3.3,2026-09-11T15:42:58,216.0,1
tless30,1,1,tless,30,obj_30,1,89,3,,proxy,gso/BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,1,fp_solo_render,118.25,,8.08,0.0911,0.38,20.4,3.7,solo,,,,40,17,0,5,0,0,0,0.0,"F,F,F,F,F",grasp_failed,3.1,2026-09-11T15:43:01,216.0,1
