ablation,group,alias_of,num_queries,K,NN_cat,NN_sub,MRR,MRR_sub,mAP_K,nDCG_K,hit_sub@1,hit_sub@5,hit_sub@10,hit_sub@20,hit_sub@50,hit_sub@100
E1a_text_only,E1,,2101,20,0.1994,0.1304,0.3204,0.2259,0.0854,0.1419,0.1304,0.3341,0.4536,0.5869,0.7853,0.8644
E1_view_only,E1,,2101,20,0.3893,0.3413,0.4793,0.4223,0.2801,0.3356,0.3413,0.5140,0.5950,0.6835,0.8196,0.9067
E1_shape_only,E1,,2101,20,0.3508,0.3089,0.4443,0.3858,0.2482,0.3057,0.3089,0.4703,0.5507,0.6416,0.7696,0.8548
E1b_text_view,E1,,2101,20,0.3846,0.3265,0.4895,0.4143,0.2615,0.3225,0.3265,0.5183,0.6092,0.7154,0.8567,0.9191
E1_oscar_cascade,E1,,2101,20,0.3079,0.2437,0.4156,0.3235,0.1079,0.1652,0.2437,0.4131,0.5164,0.5869,0.7853,0.8644
E1c_full_fusion,E1,,2101,20,0.4065,0.3522,0.5172,0.4472,0.3009,0.3624,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E1d_clip_pruned,E1,,2101,20,0.2994,0.2304,0.4159,0.3205,0.1068,0.1642,0.2304,0.4284,0.5169,0.5869,0.7853,0.8644
E2_none,E2,E1c_full_fusion,2101,20,0.4065,0.3522,0.5172,0.4472,0.3009,0.3624,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E2_fitness,E2,,2101,20,0.5288,0.4498,0.6107,0.5274,0.3232,0.3827,0.4498,0.6259,0.6892,0.7501,0.8739,0.9319
E2_chamfer_unaligned,E2,,2101,20,0.3908,0.3317,0.4981,0.4240,0.2935,0.3563,0.3317,0.5288,0.6416,0.7501,0.8739,0.9319
E2_chamfer_ransac,E2,,2101,20,0.5326,0.4588,0.6152,0.5349,0.3223,0.3840,0.4588,0.6307,0.6897,0.7501,0.8739,0.9319
E2_both,E2,,2101,20,0.5407,0.4641,0.6212,0.5405,0.3244,0.3852,0.4641,0.6311,0.6897,0.7501,0.8739,0.9319
E2b_partial,E2b,E1c_full_fusion,2101,20,0.4065,0.3522,0.5172,0.4472,0.3009,0.3624,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E2b_fullmesh,E2b,,2101,20,0.4384,0.3655,0.5377,0.4552,0.3090,0.3671,0.3655,0.5578,0.6445,0.7406,0.8463,0.9129
E4_dinov2,E4,E1c_full_fusion,2101,20,0.4065,0.3522,0.5172,0.4472,0.3009,0.3624,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E4_siglip,E4,,2101,20,0.2822,0.2413,0.4167,0.3492,0.1904,0.2633,0.2413,0.4722,0.5788,0.6940,0.8415,0.9253
E6_weighted,E6,E1c_full_fusion,2101,20,0.4065,0.3522,0.5172,0.4472,0.3009,0.3624,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E6_rrf,E6,,2101,20,0.3774,0.3227,0.5026,0.4272,0.2735,0.3433,0.3227,0.5450,0.6492,0.7520,0.8820,0.9467
E7_ulip2_pc,E7,E1c_full_fusion,2101,20,0.4065,0.3522,0.5172,0.4472,0.3009,0.3624,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E7_uni3d,E7,,2101,20,0.4141,0.3536,0.5213,0.4472,0.3027,0.3652,0.3536,0.5554,0.6559,0.7454,0.8601,0.9357
O1a_no_geometry,O1,E1b_text_view,2101,20,0.3846,0.3265,0.4895,0.4143,0.2615,0.3225,0.3265,0.5183,0.6092,0.7154,0.8567,0.9191
