ablation,group,alias_of,num_queries,nDCG,precision,recall,F1,AP,NNT1,NNT2
E1a_text_only,E1,,2101,0.4218,0.1424,0.1424,0.1424,0.0470,0.1424,0.1424
E1_view_only,E1,,2101,0.5574,0.2635,0.2635,0.2635,0.1627,0.2635,0.2635
E1_shape_only,E1,,2101,0.5256,0.2373,0.2373,0.2373,0.1379,0.2373,0.2373
E1b_text_view,E1,,2101,0.5622,0.2546,0.2546,0.2546,0.1462,0.2546,0.2546
E1_oscar_cascade,E1,,2101,0.4596,0.1424,0.1424,0.1424,0.0505,0.1424,0.1424
E1c_full_fusion,E1,,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
E1d_clip_pruned,E1,,2101,0.4580,0.1424,0.1424,0.1424,0.0503,0.1424,0.1424
E2_none,E2,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
E2_fitness,E2,,2101,0.6358,0.2864,0.2864,0.2864,0.1751,0.2864,0.2864
E2_chamfer_unaligned,E2,,2101,0.5734,0.2761,0.2761,0.2761,0.1582,0.2761,0.2761
E2_chamfer_ransac,E2,,2101,0.6375,0.2861,0.2861,0.2861,0.1764,0.2861,0.2861
E2_both,E2,,2101,0.6428,0.2866,0.2866,0.2866,0.1771,0.2866,0.2866
E2b_partial,E2b,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
E2b_fullmesh,E2b,,2101,0.5985,0.2843,0.2843,0.2843,0.1769,0.2843,0.2843
E4_dinov2,E4,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
E4_siglip,E4,,2101,0.5245,0.2122,0.2122,0.2122,0.1008,0.2122,0.2122
E6_weighted,E6,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
E6_rrf,E6,,2101,0.5792,0.2611,0.2611,0.2611,0.1400,0.2611,0.2611
E7_ulip2_pc,E7,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
E7_uni3d,E7,,2101,0.6005,0.2935,0.2935,0.2935,0.1795,0.2935,0.2935
O1a_no_geometry,O1,E1b_text_view,2101,0.5622,0.2546,0.2546,0.2546,0.1462,0.2546,0.2546
O1b_shape_in_fusion,O1,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
O1c_gedi_post_fusion,O1,,2101,0.6068,0.2535,0.2535,0.2535,0.1454,0.2535,0.2535
O1d_shape_plus_gedi,O1,E2_fitness,2101,0.6358,0.2864,0.2864,0.2864,0.1751,0.2864,0.2864
O1e_gedi_with_base,O1,,2101,0.6352,0.2892,0.2892,0.2892,0.1804,0.2892,0.2892
O2_full_database,O2,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
O2_clip_cascade,O2,E1d_clip_pruned,2101,0.4580,0.1424,0.1424,0.1424,0.0503,0.1424,0.1424
O2_clip_threshold,O2,,2101,0.4572,0.1424,0.1424,0.1424,0.0501,0.1424,0.1424
O2_clip_threshold_cal,O2,,2101,0.5254,0.1842,0.1842,0.1842,0.0911,0.1842,0.1842
O2_visual_first,O2,,2101,0.5639,0.2635,0.2635,0.2635,0.1633,0.2635,0.2635
O4_V8,O4,,2101,0.5804,0.2655,0.2655,0.2655,0.1527,0.2655,0.2655
O4_V16,O4,,2101,0.5928,0.2842,0.2842,0.2842,0.1724,0.2842,0.2842
O4_V32,O4,,2101,0.5895,0.2811,0.2811,0.2811,0.1676,0.2811,0.2811
O4_V42,O4,E1c_full_fusion,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
O5_xyzrgb,O5,E7_ulip2_pc,2101,0.5970,0.2863,0.2863,0.2863,0.1731,0.2863,0.2863
O5_xyz_only,O5,,2101,0.5954,0.2864,0.2864,0.2864,0.1774,0.2864,0.2864
