ablation,group,alias_of,num_queries,K,NN_cat,NN_sub,MRR,MRR_sub,mAP_K,nDCG_K,hit_sub@1,hit_sub@5,hit_sub@10,hit_sub@20,hit_sub@50,hit_sub@100
E1a_text_only,E1,,2101,50,0.1994,0.1304,0.3255,0.2324,0.0709,0.1403,0.1304,0.3341,0.4536,0.5869,0.7853,0.8644
E1_view_only,E1,,2101,50,0.3893,0.3413,0.4835,0.4267,0.2529,0.3274,0.3413,0.5140,0.5950,0.6835,0.8196,0.9067
E1_shape_only,E1,,2101,50,0.3508,0.3089,0.4479,0.3898,0.2304,0.3026,0.3089,0.4703,0.5507,0.6416,0.7696,0.8548
E1b_text_view,E1,,2101,50,0.3846,0.3265,0.4930,0.4190,0.2338,0.3156,0.3265,0.5183,0.6092,0.7154,0.8567,0.9191
E1_oscar_cascade,E1,,2101,50,0.3079,0.2437,0.4207,0.3301,0.0807,0.1542,0.2437,0.4131,0.5164,0.5869,0.7853,0.8644
E1c_full_fusion,E1,,2101,50,0.4065,0.3522,0.5201,0.4512,0.2744,0.3579,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E1d_clip_pruned,E1,,2101,50,0.2994,0.2304,0.4210,0.3271,0.0802,0.1536,0.2304,0.4284,0.5169,0.5869,0.7853,0.8644
E2_none,E2,E1c_full_fusion,2101,50,0.4065,0.3522,0.5201,0.4512,0.2744,0.3579,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E2_fitness,E2,,2101,50,0.5535,0.4674,0.6350,0.5479,0.2939,0.3754,0.4674,0.6359,0.7211,0.7906,0.8739,0.9319
E2_chamfer_unaligned,E2,,2101,50,0.3603,0.3075,0.4734,0.4067,0.2575,0.3445,0.3075,0.4988,0.6026,0.7254,0.8739,0.9319
E2_chamfer_ransac,E2,,2101,50,0.5355,0.4612,0.6285,0.5504,0.2932,0.3767,0.4612,0.6521,0.7354,0.7901,0.8739,0.9319
E2_both,E2,,2101,50,0.5578,0.4802,0.6438,0.5620,0.2960,0.3784,0.4802,0.6554,0.7316,0.7958,0.8739,0.9319
E2b_partial,E2b,E1c_full_fusion,2101,50,0.4065,0.3522,0.5201,0.4512,0.2744,0.3579,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E2b_fullmesh,E2b,,2101,50,0.4384,0.3655,0.5405,0.4586,0.2812,0.3592,0.3655,0.5578,0.6445,0.7406,0.8463,0.9129
E4_dinov2,E4,E1c_full_fusion,2101,50,0.4065,0.3522,0.5201,0.4512,0.2744,0.3579,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E4_siglip,E4,,2101,50,0.2822,0.2413,0.4203,0.3541,0.1727,0.2630,0.2413,0.4722,0.5788,0.6940,0.8415,0.9253
E6_weighted,E6,E1c_full_fusion,2101,50,0.4065,0.3522,0.5201,0.4512,0.2744,0.3579,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E6_rrf,E6,,2101,50,0.3774,0.3227,0.5057,0.4314,0.2444,0.3363,0.3227,0.5450,0.6492,0.7520,0.8820,0.9467
E7_ulip2_pc,E7,E1c_full_fusion,2101,50,0.4065,0.3522,0.5201,0.4512,0.2744,0.3579,0.3522,0.5583,0.6573,0.7501,0.8739,0.9319
E7_uni3d,E7,,2101,50,0.4141,0.3536,0.5244,0.4509,0.2778,0.3618,0.3536,0.5554,0.6559,0.7454,0.8601,0.9357
O1a_no_geometry,O1,E1b_text_view,2101,50,0.3846,0.3265,0.4930,0.4190,0.2338,0.3156,0.3265,0.5183,0.6092,0.7154,0.8567,0.9191
